"xdgroup","cnt","cong"
"3177516","15","0.02819158416388887"
"3619547","11","0.029355521150252528"
"2858171","15","0.035356026441666674"
"6560689","12","0.03582926494791668"
"1744611","12","0.035889105481481484"
"3177538","91","0.0379405612155067"
"6454380","13","0.03904374271260684"
"1621123","11","0.040352841558080825"
"1688821","147","0.04280137825092146"
"6429685","11","0.043590503743686865"
"1616992","22","0.046346767738636364"
"3177443","20","0.046461619028472206"
"6451007","29","0.04727621656369733"
"4128209","13","0.04832196087286324"
"6499513","77","0.04892135582738094"
"3177589","23","0.04913128519021739"
"6561762","16","0.049603412293226394"
"4124161","12","0.05018732965162037"
"1614407","11","0.051103362056818105"
"4124443","13","0.05180380954807693"
