"num_incidents","avg_response","avg_speed","hour_of_day"
"110","403.53636363636366","49.85473737373736","0"
"104","448.44005358338916","54.87695378432684","1"
"115","514.7913043478261","50.82140700483088","2"
"100","471.0251051893408","54.766370266479655","3"
"78","434.69005010737294","56.06633500357912","4"
"138","420.8027998791419","56.72735220062441","5"
"209","411.79514143094843","47.26504159733775","6"
"212","391.31253277399054","47.3891033036182","7"
"174","406.3735632183908","46.3839750957854","8"
"159","391.50314465408803","44.568080887491234","9"
"177","378.01483167229065","46.44047006199475","10"
"227","391.15859030837004","46.1140363436123","11"
"210","380.9117296222664","40.34201988071566","12"
"250","368.504","40.68549999999997","13"
"267","346.65168539325845","40.55853360382851","14"
"316","400.81556386018906","42.46824884590014","15"
"344","395.5734426759312","43.21257251353309","16"
"406","389.6569590363095","43.239970569111286","17"
"328","345.3327391562686","44.960514387573134","18"
"247","342.17092471173413","45.74508026226539","19"
"235","389.50603907637657","47.10374541148604","20"
"195","389.20005715918836","44.955108602457784","21"
"193","371.73383317713217","46.76860500324412","22"
"152","407.01535648994513","48.70195703839119","23"
