"num_incidents","avg_response","avg_speed","day"
"6","336.8333333333333","51.184953703703705","1"
"7","380.14285714285717","50.03732142857142","2"
"4","473.75","48.24246527777777","3"
"2","315.0","55.33944444444443","4"
"2","386.5","23.567916666666672","5"
"4","528.75","49.476111111111095","6"
"6","348.0","39.52136574074074","7"
"5","506.0","34.087694444444445","8"
"4","481.25","40.03892361111111","9"
"5","406.0","29.161222222222218","10"
"7","401.0","53.1554365079365","11"
"2","206.0","67.34576388888888","12"
"1","366.0","18.656944444444445","13"
"5","449.4","41.636500000000005","14"
"3","292.3333333333333","36.10393518518517","15"
"1","317.0","32.174166666666665","16"
"8","346.125","46.23680555555555","17"
"2","363.5","39.37541666666665","18"
"2","593.0","66.62256944444442","19"
"4","225.0","53.14333333333333","20"
"5","321.6","61.37780555555554","21"
"10","329.6","38.04545833333333","22"
"7","504.42857142857144","55.27428571428572","23"
"4","328.25","47.43562499999999","24"
"5","231.0","33.89452777777777","25"
"13","377.7692307692308","49.93803418803418","27"
"5","461.6","47.3063888888889","28"
"4","353.0","53.609062499999986","29"
"7","437.2857142857143","51.46954365079367","30"
"9","385.22222222222223","48.295648148148146","31"
"4","306.25","55.382118055555544","32"
"6","312.6666666666667","38.09564814814815","33"
"6","384.8333333333333","31.998287037037038","34"
"6","450.1666666666667","55.14023148148148","35"
"7","308.0","49.02077380952381","36"
"10","379.4","43.513097222222214","37"
"3","590.3333333333334","46.726157407407435","38"
"4","289.0","40.398124999999986","39"
"3","314.3333333333333","20.04796296296297","40"
"5","389.4","55.86030555555554","41"
"3","517.3333333333334","45.79796296296296","42"
"7","508.2857142857143","48.686071428571424","43"
"3","234.33333333333334","31.422453703703702","44"
"5","519.8","39.7623888888889","45"
"1","151.0","29.744444444444454","46"
"4","516.5","59.80781249999999","47"
"3","185.66666666666666","52.72634259259259","48"
"7","586.4285714285714","44.27188492063492","49"
"4","503.75","38.96236111111111","50"
"7","359.0","32.485","51"
"3","696.6666666666666","49.828472222222224","52"
"8","474.875","53.021579861111114","53"
"6","393.1666666666667","53.496226851851866","54"
"11","404.27272727272725","43.84804292929292","55"
"6","326.6666666666667","44.22048611111109","56"
"10","271.0","47.45670833333334","57"
"6","481.1666666666667","43.55050925925928","58"
"5","631.6","53.701333333333345","59"
"7","354.85714285714283","32.132777777777775","60"
"5","425.2","63.72363888888889","61"
"5","350.4","35.34675","62"
"5","436.0","51.917472222222216","63"
"3","1214.6666666666667","50.2150462962963","64"
"5","451.2","46.93069444444444","65"
"4","409.25","39.55503472222223","66"
"3","611.6666666666666","59.60777777777777","67"
"3","44.666666666666664","38.23444444444444","68"
"4","584.75","47.01263888888889","69"
"6","464.6666666666667","33.25824074074074","70"
"6","401.6666666666667","36.28988425925926","71"
"2","265.5","47.25069444444444","72"
"4","435.5","37.53951388888889","73"
"6","449.5","52.64736111111109","74"
"3","306.6666666666667","61.31652777777779","75"
"4","453.0","30.469201388888887","76"
"4","451.5","40.99017361111111","77"
"7","1029.142857142857","48.30220238095238","78"
"6","244.16666666666666","50.26835648148148","79"
"5","375.0","61.5378888888889","80"
"3","293.6666666666667","65.71875","81"
"9","355.22222222222223","58.18581790123457","82"
"1","724.0","58.49722222222221","83"
"8","490.75","60.389999999999986","84"
"3","374.0","47.28351851851851","85"
"4","548.25","60.60892361111112","86"
"2","438.0","48.559652777777764","87"
"1","494.0","31.541666666666668","88"
"4","1083.5","53.53562500000001","89"
"2","410.5","44.69833333333333","90"
"6","432.1666666666667","56.16231481481481","91"
"2","261.5","36.43020833333333","92"
"4","452.5","60.285381944444424","93"
"5","353.4","52.65477777777778","94"
"3","263.0","52.22930555555557","95"
"1","321.0","69.02097222222223","96"
"4","325.5","49.431666666666665","97"
"1","213.0","43.934305555555575","98"
"3","364.3333333333333","39.583611111111125","99"
"2","398.0","50.92319444444444","100"
"1","264.0","25.25027777777778","101"
"1","617.0","63.34319444444446","102"
"11","435.54545454545456","56.717588383838375","103"
"5","667.2","46.10216666666666","104"
"3","401.6666666666667","51.649490740740745","105"
"6","298.1666666666667","41.23124999999999","106"
"5","397.0","49.560638888888896","108"
"3","362.3333333333333","57.2662037037037","109"
"9","448.0","54.61703703703703","110"
"3","315.6666666666667","69.91087962962962","111"
"3","516.6666666666666","51.57907407407408","112"
"4","392.25","55.47163194444444","113"
"6","378.5","53.557708333333345","114"
"2","488.0","66.39951388888888","115"
"6","387.5","42.046944444444456","116"
"3","245.66666666666666","31.898888888888887","117"
"2","271.59574468085106","32.17744680851063","118"
"7","435.2857142857143","44.42924603174601","119"
"3","536.6666666666666","55.86060185185183","120"
"1","166.0","24.697916666666664","121"
"3","322.6666666666667","54.55194444444443","122"
"7","425.42857142857144","53.50037698412697","123"
"5","465.2","53.287388888888884","124"
"8","334.0","40.56237847222222","125"
"3","434.6666666666667","55.396990740740726","126"
"3","377.3333333333333","54.941620370370366","127"
"3","279.6666666666667","53.37944444444445","128"
"3","713.6666666666666","58.35032407407407","129"
"3","328.0","57.43092592592593","130"
"5","311.0","36.834833333333336","131"
"6","289.5","37.975509259259255","132"
"3","311.6666666666667","50.06134259259258","133"
"6","301.0","40.225763888888885","134"
"4","382.5","40.887881944444445","135"
"6","177.83333333333334","37.2082175925926","136"
"4","250.75","67.01746527777775","137"
"9","399.6666666666667","50.3765586419753","138"
"5","357.6","64.26344444444446","139"
"1","696.0","53.12194444444444","140"
"5","370.4","52.95855555555554","141"
"4","287.25","54.56368055555554","142"
"8","355.625","46.444079861111106","143"
"3","241.66666666666666","52.19125","144"
