"num_incidents","avg_response","avg_speed","hour_of_day"
"36","457.4166666666667","45.60990740740741","0"
"39","456.7435897435897","56.81194088319086","1"
"44","555.3409090909091","50.893765782828275","2"
"40","552.6820083682009","54.18881450488146","3"
"34","463.4679802955665","57.31716338259444","4"
"53","401.7169811320755","58.50613731656185","5"
"72","395.22222222222223","45.00373070987656","6"
"93","415.59139784946234","45.93445937873357","7"
"79","457.8481012658228","44.254804852320675","8"
"69","465.5652173913044","43.83114734299518","9"
"74","389.2972972972973","44.99295983483482","10"
"105","426.1904761904762","41.50208994708994","11"
"88","393.1363636363636","38.73667929292931","12"
"108","366.8240740740741","36.42327160493828","13"
"104","398.97115384615387","40.25460336538459","14"
"125","406.328","39.48170222222222","15"
"139","426.0647482014389","40.91824140687447","16"
"187","427.67914438502675","42.17449346405223","17"
"133","371.9323308270677","44.66661340852129","18"
"103","329.621359223301","43.49934466019417","19"
"100","407.62","44.775137500000014","20"
"76","370.9342105263158","39.91460709064327","21"
"83","415.3855421686747","45.12833333333333","22"
"63","406.36507936507934","44.75934744268078","23"
