"xdgroup","cnt","cong"
"2858287","623","0.15202679436521624"
"1746789","377","0.08957439740297297"
"1743946","356","0.10160349472945007"
"1621379","340","0.12447910501136183"
"1740471","238","0.10180981537258228"
"1681622","237","0.09944959118909726"
"2860921","232","0.15485116743171068"
"3177417","222","0.16214009721700468"
"3176773","219","0.13628579608614025"
"1722191","218","0.07255495919954101"
"1627331","216","0.10767338451221699"
"2852606","204","0.14646777355453428"
"1747641","202","0.12835926687967555"
"916726","199","0.06263380423737727"
"3177297","197","0.08716377075977658"
"1735637","191","0.21634319970418858"
"3177385","188","0.11650210622539894"
"2852634","174","0.07344113121080785"
"2859735","166","0.08490812879973123"
"1688821","147","0.042801378250921465"
