"num_incidents","avg_response","avg_speed","window_of_day"
"246","479.1119402985075","54.12018374038892","1"
"492","424.7113821138211","44.14603771454381","2"
"751","407.051930758988","39.998000628791374","3"
"558","380.73297491039426","43.90252065910003","4"
