"num_incidents","avg_response","avg_speed","hour_of_day"
"46","435.5","52.94875000000001","0"
"33","558.604759881003","57.53119847003825","1"
"29","561.2758620689655","48.89713122605364","2"
"28","472.0597548518897","56.52042390194075","3"
"27","438.3900414937759","54.98928941908715","4"
"52","455.05453087409785","55.41595829991982","5"
"77","448.06493506493507","50.82225468975467","6"
"59","386.86037735849055","46.69711084905658","7"
"46","413.6521739130435","49.07754528985509","8"
"54","380.2962962962963","46.94525462962964","9"
"53","429.7800786369594","49.54268676277854","10"
"75","354.93333333333334","48.281524074074106","11"
"74","390.83238958097394","41.23100604001509","12"
"88","413.1818181818182","45.739809027777795","13"
"102","338.578431372549","41.78107570806099","14"
"128","418.9334346834618","46.08143663807144","15"
"133","399.755409219191","45.45527019964462","16"
"131","364.98439656087464","45.04668718819656","17"
"135","337.4609973101593","46.32069728946819","18"
"80","385.8757939308398","50.15660726887789","19"
"87","395.768972142171","48.37537624079413","20"
"80","414.10286913925825","47.360344646606045","21"
"75","362.24414715719064","48.451189149015256","22"
"56","406.5054617676266","52.99325471698113","23"
