"id_original","latitude","longitude","emdcardnumber","time_utc","time_local","response_time_sec","weekend_or_not","geometry","incident_id","dist_to_seg","xdsegid","month","hour_of_day","day","window_of_day","day_of_week","window_id","xd_id","measurement_tstamp","measurement_tstamp_str","speed","average_speed","reference_speed","travel_time_seconds","confidence_score","cvalue","congestion","extreme_congestion","year","segid","roadname","xdgroup","win_id","precip","temp","vis","wind_spd"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","30:00.0","9/12/2019 11:30","63.38","59.0","59.0","22.07","30.0","98.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","25:00.0","9/12/2019 11:25","60.8","59.0","59.0","23.0","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","20:00.0","9/12/2019 11:20","61.0","59.0","59.0","22.93","30.0","100.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","15:00.0","9/12/2019 11:15","63.11","59.0","59.0","22.16","30.0","98.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","10:00.0","9/12/2019 11:10","68.52","59.0","59.0","20.41","30.0","75.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","05:00.0","9/12/2019 11:05","66.72","59.0","59.0","20.96","30.0","85.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","00:00.0","9/12/2019 11:00","67.58","59.0","59.0","20.69","30.0","81.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","55:00.0","9/12/2019 10:55","65.39","59.0","59.0","21.39","30.0","95.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","50:00.0","9/12/2019 10:50","64.15","59.0","59.0","21.8","30.0","97.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
"ObjectId(5d7a38a295fad01a4ccc7b59)","36.18755918","-86.86244072","29B1","18:03.0","18:03.0","244","0","POINT (-86.86244072 36.18755918)","15670","0.30070078","1520000000","9","7","255","2","Thu","2019.255.2","1524322963","45:00.0","9/12/2019 10:45","66.38","59.0","59.0","21.07","30.0","81.0","0.0","0.0","2019","1524322963","BRILEY PKWY","3177297","2019.255.2","0.0","26.65000000000001","15.733333333333333","1.0133333333333336"
